model,horizon,mae,rmse,bias,rainy_mae,rainy_rmse,rainy_bias,pr_auc,precision,recall,f1,ext_pr_auc,ext_precision,ext_recall,ext_f1
Persistence,4,4.9749650955200195,14.408930001701906,-0.0013015931472182274,12.340484619140625,23.1985804156371,-3.7818057537078857,0.5005836378896026,0.5752723789188725,0.5750253831289285,0.5751488545060186,0.14434685306689965,0.19971068589399996,0.1996107831778295,0.19966072203902505
RecentHistory,4,4.439757347106934,11.530485133000422,-0.004580745939165354,10.481451034545898,19.491750683983277,-3.9174787998199463,0.6018533601208762,0.4521799355405517,0.8876127353336132,0.5991384759348669,0.19595063341168326,0.25855825897393264,0.18067277063639856,0.21271009500939456
Climatology,5,4.0505828857421875,10.746595686432808,-0.4279311001300812,9.708632469177246,18.69287603612545,-4.796080112457275,0.660853001903155,0.3759159137135712,0.9642310533700591,0.5409403690214605,0.2226349866698753,0.34969888941029253,0.11545599793425108,0.17359737735469044
Persistence,5,5.027015686035156,14.542467213686018,-0.0014833735767751932,12.407651901245117,23.3796825920599,-3.8783156871795654,0.49354414459554524,0.5687262293988123,0.5682884708456832,0.5685072658522068,0.13836998164825148,0.1908342966373693,0.19076222907218823,0.19079825604950987
RecentHistory,5,4.462299823760986,11.58408827116829,-0.004762512166053057,10.512603759765625,19.57490122101514,-3.955019950866699,0.5976080356034055,0.45100438790220415,0.8850037235755612,0.5975121845643229,0.19180420067888537,0.25553307838681666,0.17858076594096478,0.21023652416445165
Climatology,6,4.053450584411621,10.750242363615103,-0.43086132407188416,9.710882186889648,18.692821344682528,-4.801971912384033,0.6606419780517601,0.37600781839634684,0.9637605379437357,0.5409614215977615,0.22249350811139187,0.34969888941029253,0.11533352249277755,0.1734588974667339
Persistence,6,5.043109893798828,14.577144741125093,-0.004413595423102379,12.408563613891602,23.439557201382346,-3.9270455837249756,0.4904892052130971,0.5665499385181443,0.5656993054415408,0.5661243024492114,0.13792825821434707,0.191266976215539,0.19099192633099463,0.19112935231881673
RecentHistory,6,4.484143257141113,11.631414141104038,-0.007692751009017229,10.537006378173828,19.63727550123306,-4.000199317932129,0.5935906188656734,0.4503594293785585,0.8830909873961077,0.5965101486638417,0.18831032386683766,0.2531083153208077,0.17669856582748658,0.20811149508221624
Climatology,7,4.054526329040527,10.751145057906731,-0.4320259094238281,9.709091186523438,18.6892954496497,-4.80291748046875,0.6604911817727201,0.37607024859752525,0.9633830081462254,0.5409665257732751,0.22246078738000646,0.34969888941029253,0.11530898423648496,0.17343114390857653
Persistence,7,5.045460224151611,14.568288544915964,-0.005578250624239445,12.41981029510498,23.461117007305273,-3.918060302734375,0.49083099688860754,0.566781686985864,0.565615104821267,0.566197795003794,0.13716656724782358,0.18981394778138702,0.189500660842655,0.1896571749356356
RecentHistory,7,4.508820533752441,11.685224831817195,-0.008857415057718754,10.57094669342041,19.70837806658947,-4.0417375564575195,0.5896985982382139,0.44986767125681365,0.8816347860828083,0.5957465356940121,0.18362576761419003,0.24819874743667905,0.1732342606621321,0.20404916408151486
